you	ˈju
first	ˈfɝst
into	ˈɪntu
anything	ˈɛniˌθɪŋ
still	ˈstɪl
find	ˈfaɪnd
life	ˈlaɪf
nothing	ˈnʌθɪŋ
sir	ˈsɝ
day	ˈdeɪ
god	ˈɡɑd
work	ˈwɝk
their	ˈðɛɹ
uh	ˈʌ
again	əˈɡɛn
maybe	ˈmeɪbi
must	ˈmʌst
before	bɪˈfɔɹ
other	ˈʌðɚ
wait	ˈweɪt
stop	ˈstɑp
call	ˈkɔl
after	ˈæftɚ
won	ˈwʌn
talk	ˈtɔk
away	əˈweɪ
than	ˈðæn
thought	ˈθɔt
home	ˈhoʊm
night	ˈnaɪt
put	ˈpʊt
great	ˈɡɹeɪt
those	ˈðoʊz
last	ˈlæst
better	ˈbɛtɚ
everything	ˈɛvɹiˌθɪŋ
told	ˈtoʊld
new	ˈnu
things	ˈθɪŋz
always	ˈɔˌlweɪz
keep	ˈkip
long	ˈlɔŋ
years	ˈjɪɹz
leave	ˈliv
does	ˈdʌz
money	ˈmʌni
around	ɚˈaʊnd
name	ˈneɪm
place	ˈpleɪs
ever	ˈɛvɚ
feel	ˈfil
guys	ˈɡaɪz
father	ˈfɑðɚ
guy	ˈɡaɪ
made	ˈmeɪd
old	ˈoʊld
which	ˈwɪtʃ
big	ˈbɪɡ
lot	ˈlɑt
done	ˈdʌn
hello	həˈloʊ
nice	ˈnaɪs
believe	bɪˈliv
girl	ˈɡɝl
someone	ˈsʌˌmwʌn
fine	ˈfaɪn
thanks	ˈθæŋks
wanted	ˈwɔntɪd
kind	ˈkaɪnd
coming	ˈkʌmɪŋ
house	ˈhaʊs
every	ˈɛvɚi
ok	ˈoʊˈkeɪ
through	ˈθɹu
being	ˈbiɪŋ
course	ˈkɔɹs
stay	ˈsteɪ
left	ˈlɛft
dad	ˈdæd
enough	ɪˈnʌf
happened	ˈhæpənd
came	ˈkeɪm
may	ˈmeɪ
mother	ˈmʌðɚ
wrong	ˈɹɔŋ
world	ˈwɝld
bad	ˈbæd
might	ˈmaɪt
three	ˈθɹi
today	təˈdeɪ
listen	ˈlɪsən
another	əˈnʌðɚ
understand	ˌʌndɚˈstænd
hear	ˈhiɹ
remember	ɹɪˈmɛmbɚ
ask	ˈæsk
own	ˈoʊn
same	ˈseɪm
show	ˈʃoʊ
else	ˈɛls
kill	ˈkɪl
talking	ˈtɔkɪŋ
found	ˈfaʊnd
next	ˈnɛkst
getting	ˈɡɛtɪŋ
care	ˈkɛɹ
car	ˈkɑɹ
looking	ˈlʊkɪŋ
son	ˈsʌn
try	ˈtɹaɪ
woman	ˈwʊmən
went	ˈwɛnt
hi	ˈhaɪ
dead	ˈdɛd
many	ˈmɛni
mind	ˈmaɪnd
friend	ˈfɹɛnd
best	ˈbɛst
mom	ˈmɑm
hell	ˈhɛl
morning	ˈmɔɹnɪŋ
trying	ˈtɹaɪɪŋ
boy	ˈbɔɪ
together	təˈɡɛðɚ
yourself	jɚˈsɛlf
job	ˈdʒɑb
saw	ˈsɔ
family	ˈfæməli
real	ˈɹil
without	wɪˈθaʊt
baby	ˈbeɪbi
room	ˈɹum
already	ɔˈlɹɛdi
move	ˈmuv
most	ˈmoʊst
seen	ˈsin
live	ˈlaɪv
miss	ˈmɪs
actually	ˈæˌktʃuəli
huh	ˈhʌ
shit	ˈʃɪt
both	ˈboʊθ
heard	ˈhɝd
once	ˈwʌns
ready	ˈɹɛdi
head	ˈhɛd
called	ˈkɔld
used	ˈjuzd
idea	aɪˈdiə
knew	ˈnu
hold	ˈhoʊld
happy	ˈhæpi
door	ˈdɔɹ
such	ˈsʌtʃ
fuck	ˈfʌk
brother	ˈbɹʌðɚ
also	ˈɔlsoʊ
pretty	ˈpɹɪti
bit	ˈbɪt
took	ˈtʊk
haven	ˈheɪvən
yet	ˈjɛt
men	ˈmɛn
whole	ˈhoʊl
start	ˈstɑɹt
use	ˈjus
while	ˈwaɪl
since	ˈsɪns
wife	ˈwaɪf
days	ˈdeɪz
guess	ˈɡɛs
tomorrow	təˈmɑˌɹoʊ
matter	ˈmætɚ
meet	ˈmit
bring	ˈbɹɪŋ
tonight	təˈnaɪt
everyone	ˈɛvɹiˌwʌn
run	ˈɹʌn
wanna	ˈwɑnə
hard	ˈhɑɹd
ah	ˈɑ
alone	əˈloʊn
myself	ˌmaɪˈsɛlf
school	ˈskul
gone	ˈɡɔn
um	ˈʌm
end	ˈɛnd
saying	ˈseɪɪŋ
phone	ˈfoʊn
play	ˈpleɪ
looks	ˈlʊks
fucking	ˈfʌkɪŋ
problem	ˈpɹɑbləm
few	ˈfju
friends	ˈfɹɛndz
gotta	ˈɡɑtə
ago	əˈɡoʊ
open	ˈoʊpən
anyone	ˈɛniˌwʌn
killed	ˈkɪld
hope	ˈhoʊp
face	ˈfeɪs
until	əˈntɪl
lost	ˈlɔst
police	pəˈlis
excuse	ɪˈkskjus
turn	ˈtɝn
business	ˈbɪznəs
case	ˈkeɪs
wants	ˈwɑnts
says	ˈsɛz
true	ˈtɹu
die	ˈdaɪ
heart	ˈhɑɹt
soon	ˈsun
each	ˈitʃ
worry	ˈwɝi
later	ˈleɪtɚ
year	ˈjɪɹ
watch	ˈwɑtʃ
music	ˈmjuzɪk
hand	ˈhænd
having	ˈhævɪŋ
probably	ˈpɹɑbəˌbli
beautiful	ˈbjutəfəl
doctor	ˈdɑktɚ
sit	ˈsɪt
eat	ˈit
thinking	ˈθɪŋkɪŋ
young	ˈjʌŋ
second	ˈsɛkənd
working	ˈwɝkɪŋ
water	ˈwɔtɚ
person	ˈpɝsən
part	ˈpɑɹt
kids	ˈkɪdz
late	ˈleɪt
stuff	ˈstʌf
exactly	ɪˈɡzæktli
under	ˈʌndɚ
death	ˈdɛθ
minute	ˈmɪnət
pay	ˈpeɪ
crazy	ˈkɹeɪzi
forget	fɚˈɡɛt
everybody	ˈɛvɹiˌbɑdi
kid	ˈkɪd
change	ˈtʃeɪndʒ
gave	ˈɡeɪv
happen	ˈhæpən
damn	ˈdæm
five	ˈfaɪv
drink	ˈdɹɪŋk
far	ˈfɑɹ
knows	ˈnoʊz
its	ˈɪts
whatever	ˌwʌˈtɛvɚ
eyes	ˈaɪz
shut	ˈʃʌt
aren	ˈɑɹən
hit	ˈhɪt
taking	ˈteɪkɪŋ
easy	ˈizi
times	ˈtaɪmz
check	ˈtʃɛk
hands	ˈhændz
minutes	ˈmɪnəts
deal	ˈdil
different	ˈdɪfɚənt
means	ˈminz
point	ˈpɔɪnt
inside	ˌɪˈnsaɪd
makes	ˈmeɪks
asked	ˈæskt
somebody	ˈsʌˌmbɑdi
mine	ˈmaɪn
making	ˈmeɪkɪŋ
body	ˈbɑdi
afraid	əˈfɹeɪd
sleep	ˈslip
chance	ˈtʃæns
dear	ˈdɪɹ
quite	ˈkwaɪt
four	ˈfɔɹ
anyway	ˈɛniˌweɪ
close	ˈkloʊs
party	ˈpɑɹti
fun	ˈfʌn
against	əˈɡɛnst
word	ˈwɝd
comes	ˈkʌmz
important	ˌɪˈmpɔɹtənt
set	ˈsɛt
shall	ˈʃæl
story	ˈstɔɹi
number	ˈnʌmbɚ
daughter	ˈdɔtɚ
least	ˈlist
waiting	ˈweɪtɪŋ
hurt	ˈhɝt
wish	ˈwɪʃ
moment	ˈmoʊmənt
fight	ˈfaɪt
week	ˈwik
husband	ˈhʌzbənd
girls	ˈɡɝlz
rest	ˈɹɛst
married	ˈmɛɹid
fire	ˈfaɪɚ
game	ˈɡeɪm
nobody	ˈnoʊˌbɑˌdi
mr	ˈmɪstɚ
children	ˈtʃɪldɹən
side	ˈsaɪd
stand	ˈstænd
read	ˈɹɛd
though	ˈðoʊ
cut	ˈkʌt
started	ˈstɑɹtɪd
sister	ˈsɪstɚ
supposed	səˈpoʊzd
between	bɪˈtwin
child	ˈtʃaɪld
goes	ˈɡoʊz
hours	ˈaʊɚz
speak	ˈspik
women	ˈwɪmən
behind	bɪˈhaɪnd
almost	ˈɔˌlmoʊst
truth	ˈtɹuθ
blood	ˈblʌd
able	ˈeɪbəl
lady	ˈleɪdi
anymore	ˌɛniˈmɔɹ
playing	ˈpleɪɪŋ
gets	ˈɡɛts
shot	ˈʃɑt
reason	ˈɹizən
trouble	ˈtɹʌbəl
break	ˈbɹeɪk
war	ˈwɔɹ
city	ˈsɪti
walk	ˈwɔk
town	ˈtaʊn
trust	ˈtɹʌst
met	ˈmɛt
office	ˈɔfɪs
question	ˈkwɛstʃən
brought	ˈbɹɔt
yours	ˈjʊɹz
welcome	ˈwɛlkəm
high	ˈhaɪ
wow	ˈwaʊ
couple	ˈkʌpəl
half	ˈhæf
died	ˈdaɪd
cool	ˈkul
free	ˈfɹi
either	ˈiðɚ
seems	ˈsimz
power	ˈpaʊɚ
whoa	ˈwoʊ
bye	ˈbaɪ
buy	ˈbaɪ
telling	ˈtɛlɪŋ
honey	ˈhʌni
tried	ˈtɹaɪd
front	ˈfɹʌnt
team	ˈtim
answer	ˈænsɚ
gun	ˈɡʌn
boys	ˈbɔɪz
line	ˈlaɪn
send	ˈsɛnd
news	ˈnuz
stupid	ˈstupəd
bed	ˈbɛd
hurry	ˈhɝi
full	ˈfʊl
months	ˈmʌnθs
save	ˈseɪv
sometimes	səˈmtaɪmz
become	bɪˈkʌm
along	əˈlɔŋ
hate	ˈheɪt
food	ˈfud
outside	ˈaʊˈtsaɪd
light	ˈlaɪt
l	ˈɛl
needs	ˈnidz
dog	ˈdɔɡ
country	ˈkʌntɹi
clear	ˈklɪɹ
order	ˈɔɹdɚ
em	ˈɛm
fact	ˈfækt
lord	ˈlɔɹd
captain	ˈkæptən
six	ˈsɪks
hot	ˈhɑt
funny	ˈfʌni
black	ˈblæk
alive	əˈlaɪv
pick	ˈpɪk
feeling	ˈfilɪŋ
living	ˈlɪvɪŋ
cause	ˈkɑz
ahead	əˈhɛd
lose	ˈluz
king	ˈkɪŋ
plan	ˈplæn
dinner	ˈdɪnɚ
sighs	ˈsaɪz
sort	ˈsɔɹt
leaving	ˈlivɪŋ
running	ˈɹʌnɪŋ
boss	ˈbɑs
alright	ˌɔˈlɹaɪt
promise	ˈpɹɑməs
taken	ˈteɪkən
safe	ˈseɪf
ma	ˈmɑ
book	ˈbʊk
sent	ˈsɛnt
white	ˈwaɪt
hour	ˈaʊɚ
anybody	ˈɛnibədi
small	ˈsmɔl
perfect	pɚˈfɛkt
'cause	kəz
lives	ˈlɪvz
special	ˈspɛʃəl
parents	ˈpɛɹənts
s	ˈɛs
john	ˈdʒɑn
himself	hɪˈmsɛlf
perhaps	pɚˈhæps
sounds	ˈsaʊndz
serious	ˈsɪɹiəs
sick	ˈsɪk
company	ˈkʌmpəˌni
ha	ˈhɑ
scared	ˈskɛɹd
uncle	ˈʌŋkəl
poor	ˈpuɹ
red	ˈɹɛd
past	ˈpæst
earth	ˈɝθ
possible	ˈpɑsəbəl
shoot	ˈʃut
touch	ˈtʌtʃ
sound	ˈsaʊnd
top	ˈtɑp
ass	ˈæs
laughs	ˈlæfs
cannot	ˈkænɑt
asking	ˈæskɪŋ
win	ˈwɪn
glad	ˈɡlæd
control	kəˈntɹoʊl
hmm	hm
human	ˈhjumən
drive	ˈdɹaɪv
hair	ˈhɛɹ
jack	ˈdʒæk
bitch	ˈbɪtʃ
luck	ˈlʌk
murder	ˈmɝdɚ
happens	ˈhæpənz
air	ˈɛɹ
ten	ˈtɛn
daddy	ˈdædi
finally	ˈfaɪnəli
chuckles	ˈtʃʌkəlz
fast	ˈfæst
cold	ˈkoʊld
seem	ˈsim
laughing	ˈlæfɪŋ
words	ˈwɝdz
hospital	ˈhɑˌspɪtəl
street	ˈstɹit
hang	ˈhæŋ
dance	ˈdæns
meeting	ˈmitɪŋ
till	ˈtɪl
others	ˈʌðɚz
catch	ˈkætʃ
follow	ˈfɑloʊ
sense	ˈsɛns
sex	ˈsɛks
lie	ˈlaɪ
evening	ˈivnɪŋ
master	ˈmæstɚ
known	ˈnoʊn
dream	ˈdɹim
write	ˈɹaɪt
million	ˈmɪljən
voice	ˈvɔɪs
sweet	ˈswit
rather	ˈɹæðɚ
felt	ˈfɛlt
sign	ˈsaɪn
lucky	ˈlʌki
somewhere	ˈsʌˌmwɛɹ
bet	ˈbɛt
o	ˈoʊ
jesus	ˈdʒizəs
longer	ˈlɔŋɡɚ
calling	ˈkɔlɪŋ
worked	ˈwɝkt
quiet	ˈkwaɪət
looked	ˈlʊkt
less	ˈlɛs
pull	ˈpʊl
beat	ˈbit
careful	ˈkɛɹfəl
coffee	ˈkɑfi
return	ɹɪˈtɝn
secret	ˈsikɹət
weeks	ˈwiks
date	ˈdeɪt
seeing	ˈsiɪŋ
fall	ˈfɔl
given	ˈɡɪvən
ooh	ˈu
fault	ˈfɔlt
straight	ˈstɹeɪt
takes	ˈteɪks
song	ˈsɔŋ
future	ˈfjutʃɚ
gentlemen	ˈdʒɛntəlmɪn
loved	ˈlʌvd
changed	ˈtʃeɪndʒd
road	ˈɹoʊd
calm	ˈkɑm
wonderful	ˈwʌndɚfəl
mad	ˈmæd
turned	ˈtɝnd
drop	ˈdɹɑp
ladies	ˈleɪdiz
learn	ˈlɝn
step	ˈstɛp
absolutely	ˌæbsəˈlutli
early	ˈɝli
explain	ɪˈkspleɪn
clean	ˈklin
piece	ˈpis
yesterday	ˈjɛstɚˌdeɪ
throw	ˈθɹoʊ
picture	ˈpɪktʃɚ
land	ˈlænd
feet	ˈfit
wonder	ˈwʌndɚ
questions	ˈkwɛstʃənz
speaking	ˈspikɪŋ
worth	ˈwɝθ
darling	ˈdɑɹlɪŋ
dude	ˈdud
giving	ˈɡɪvɪŋ
president	ˈpɹɛzəˌdɛnt
eye	ˈaɪ
quick	ˈkwɪk
moving	ˈmuvɪŋ
figure	ˈfɪɡjɚ
state	ˈsteɪt
strong	ˈstɹɔŋ
sam	ˈsæm
none	ˈnʌn
amazing	əˈmeɪzɪŋ
ones	ˈwʌnz
works	ˈwɝks
act	ˈækt
needed	ˈnidəd
weird	ˈwɪɹd
law	ˈlɔ
worried	ˈwɝid
report	ɹiˈpɔɹt
goodbye	ˌɡʊˈdbaɪ
missing	ˈmɪsɪŋ
choice	ˈtʃɔɪs
happening	ˈhæpənɪŋ
chief	ˈtʃif
wedding	ˈwɛdɪŋ
strange	ˈstɹeɪndʒ
general	ˈdʒɛnɚəl
pain	ˈpeɪn
kidding	ˈkɪdɪŋ
decided	ˌdɪˈsaɪdɪd
ya	ˈjɑ
pass	ˈpæs
tired	ˈtaɪɚd
class	ˈklæs
officer	ˈɔfəsɚ
kept	ˈkɛpt
wake	ˈweɪk
worse	ˈwɝs
busy	ˈbɪzi
eh	ˈɛ
mistake	mɪˈsteɪk
kiss	ˈkɪs
court	ˈkɔɹt
building	ˈbɪldɪŋ
finish	ˈfɪnɪʃ
during	ˈdʊɹɪŋ
age	ˈeɪdʒ
ship	ˈʃɪp
caught	ˈkɑt
marry	ˈmɛɹi
meant	ˈmɛnt
sell	ˈsɛl
dark	ˈdɑɹk
watching	ˈwɑtʃɪŋ
system	ˈsɪstəm
suppose	səˈpoʊz
evidence	ˈɛvədəns
movie	ˈmuvi
ride	ˈɹaɪd
t	ˈti
completely	kəˈmplitli
mouth	ˈmaʊθ
totally	ˈtoʊtəli
birthday	ˈbɝˌθdeɪ
tv	ˈtiˈvi
forgive	fɚˈɡɪv
born	ˈbɔɹn
imagine	ˌɪˈmædʒən
information	ˌɪnfɚˈmeɪʃən
instead	ˌɪˈnstɛd
definitely	ˈdɛfənətli
security	sɪˈkjʊɹəti
certainly	ˈsɝtənli
film	ˈfɪlm
month	ˈmʌnθ
lying	ˈlaɪɪŋ
unless	əˈnlɛs
train	ˈtɹeɪn
seven	ˈsɛvən
wear	ˈwɛɹ
clothes	ˈkloʊðz
michael	ˈmaɪkəl
hotel	hoʊˈtɛl
christmas	ˈkɹɪsməs
attack	əˈtæk
round	ˈɹaʊnd
expect	ɪˈkspɛkt
sing	ˈsɪŋ
terrible	ˈtɛɹəbəl
george	ˈdʒɔɹdʒ
bag	ˈbæɡ
history	ˈhɪstɚi
blue	ˈblu
near	ˈnɪɹ
broke	ˈbɹoʊk
station	ˈsteɪʃən
seriously	ˈsɪɹiəsli
forever	fɚˈɛvɚ
david	ˈdeɪvɪd
frank	ˈfɹæŋk
except	ɪˈksɛpt
thinks	ˈθɪŋks
message	ˈmɛsədʒ
entire	ɪˈntaɪɚ
joe	ˈdʒoʊ
table	ˈteɪbəl
talked	ˈtɔkt
across	əˈkɹɔs
rock	ˈɹɑk
lovely	ˈlʌvli
handle	ˈhændəl
middle	ˈmɪdəl
buddy	ˈbʌdi
paid	ˈpeɪd
protect	pɹəˈtɛkt
using	ˈjuzɪŋ
floor	ˈflɔɹ
ran	ˈɹæn
swear	ˈswɛɹ
spend	ˈspɛnd
situation	ˌsɪtʃuˈeɪʃən
ring	ˈɹɪŋ
anywhere	ˈɛniˌwɛɹ
dangerous	ˈdeɪndʒɚəs
bill	ˈbɪl
york	ˈjɔɹk
army	ˈɑɹmi
lead	ˈlɛd
bought	ˈbɑt
finished	ˈfɪnɪʃt
fair	ˈfɛɹ
sun	ˈsʌn
letter	ˈlɛtɚ
fool	ˈful
attention	əˈtɛnʃən
club	ˈklʌb
simple	ˈsɪmpəl
interesting	ˈɪntɹəstɪŋ
space	ˈspeɪs
test	ˈtɛst
box	ˈbɑks
group	ˈɡɹup
single	ˈsɪŋɡəl
sitting	ˈsɪtɪŋ
marriage	ˈmɛɹɪdʒ
join	ˈdʒɔɪn
fear	ˈfɪɹ
d	ˈdi
peace	ˈpis
forgot	fɚˈɡɑt
force	ˈfɔɹs
short	ˈʃɔɹt
normal	ˈnɔɹməl
charlie	ˈtʃɑɹli
present	ˈpɹɛzənt
enjoy	ˌɛˈndʒɔɪ
mike	ˈmaɪk
crime	ˈkɹaɪm
horse	ˈhɔɹs
ground	ˈɡɹaʊnd
american	əˈmɛɹəkən
count	ˈkaʊnt
area	ˈɛɹiə
charge	ˈtʃɑɹdʒ
honor	ˈɑnɚ
lunch	ˈlʌntʃ
miles	ˈmaɪlz
radio	ˈɹeɪdiˌoʊ
idiot	ˈɪˌdiət
ball	ˈbɔl
surprise	sɚˈpɹaɪz
paper	ˈpeɪpɚ
key	ˈki
boat	ˈboʊt
quickly	ˈkwɪkli
gold	ˈɡoʊld
bar	ˈbɑɹ
fish	ˈfɪʃ
mark	ˈmɑɹk
tom	ˈtɑm
wearing	ˈwɛɹɪŋ
crying	ˈkɹaɪɪŋ
accident	ˈæksədənt
government	ˈɡʌvɚmənt
eight	ˈeɪt
fell	ˈfɛl
cover	ˈkʌvɚ
certain	ˈsɝtən
interested	ˈɪntɹəstɪd
deep	ˈdip
star	ˈstɑɹ
sea	ˈsi
agree	əˈɡɹi
problems	ˈpɹɑbləmz
detective	dɪˈtɛktɪv
prison	ˈpɹɪzən
major	ˈmeɪdʒɚ
stick	ˈstɪk
offer	ˈɔfɚ
difficult	ˈdɪfəkəlt
smart	ˈsmɑɹt
personal	ˈpɝsɪnəl
record	ɹəˈkɔɹd
stopped	ˈstɑpt
hide	ˈhaɪd
whether	ˈwɛðɚ
bank	ˈbæŋk
trip	ˈtɹɪp
relax	ɹɪˈlæks
america	əˈmɛɹəkə
public	ˈpʌblɪk
list	ˈlɪst
afternoon	ˌæftɚˈnun
brain	ˈbɹeɪn
fix	ˈfɪks
bastard	ˈbæstɚd
proud	ˈpɹaʊd
tea	ˈti
service	ˈsɝvəs
screaming	ˈskɹimɪŋ
forward	ˈfɔɹwɚd
angry	ˈæŋɡɹi
park	ˈpɑɹk
soul	ˈsoʊl
fighting	ˈfaɪtɪŋ
peter	ˈpitɚ
rich	ˈɹɪtʃ
agent	ˈeɪdʒənt
blow	ˈbloʊ
paul	ˈpɔl
dress	ˈdɹɛs
mary	ˈmɛɹi
missed	ˈmɪst
scene	ˈsin
killing	ˈkɪlɪŋ
standing	ˈstændɪŋ
saved	ˈseɪvd
mm	m
respect	ɹɪˈspɛkt
killer	ˈkɪlɚ
ice	ˈaɪs
mess	ˈmɛs
tough	ˈtʌf
feels	ˈfilz
church	ˈtʃɝtʃ
sad	ˈsæd
cell	ˈsɛl
drunk	ˈdɹʌŋk
share	ˈʃɛɹ
camera	ˈkæmɚə
within	wɪˈðɪn
card	ˈkɑɹd
fly	ˈflaɪ
ben	ˈbɛn
girlfriend	ˈɡɝˌlfɹɛnd
laugh	ˈlæf
smell	ˈsmɛl
broken	ˈbɹoʊkən
mum	ˈmʌm
honest	ˈɑnəst
often	ˈɔfən
starting	ˈstɑɹtɪŋ
calls	ˈkɔlz
y	ˈwaɪ
spent	ˈspɛnt
third	ˈθɝd
english	ˈɪŋɡlɪʃ
visit	ˈvɪzɪt
mama	ˈmɑmə
judge	ˈdʒʌdʒ
window	ˈwɪndoʊ
hungry	ˈhʌŋɡɹi
dare	ˈdɛɹ
relationship	ɹiˈleɪʃəˌnʃɪp
moved	ˈmuvd
prove	ˈpɹuv
private	ˈpɹaɪvət
wall	ˈwɔl
seat	ˈsit
position	pəˈzɪʃən
lieutenant	luˈtɛnənt
realize	ˈɹiəˌlaɪz
especially	əˈspɛʃli
machine	məˈʃin
walking	ˈwɔkɪŋ
art	ˈɑɹt
pleasure	ˈplɛʒɚ
bloody	ˈblʌdi
college	ˈkɑlɪdʒ
french	ˈfɹɛntʃ
involved	ˌɪˈnvɑlvd
cry	ˈkɹaɪ
became	bɪˈkeɪm
lived	ˈlɪvd
impossible	ˌɪˈmpɑsəbəl
obviously	ˈɑbviəsli
neither	ˈniðɚ
accept	æˈksɛpt
boyfriend	ˈbɔɪˌfɹɛnd
besides	bɪˈsaɪdz
queen	ˈkwin
teacher	ˈtitʃɚ
cops	ˈkɑps
sake	ˈseɪk
loves	ˈlʌvz
carry	ˈkæɹi
teach	ˈtitʃ
apartment	əˈpɑɹtmənt
upset	əˈpsɛt
green	ˈɡɹin
la	ˈlɑ
liked	ˈlaɪkt
cute	ˈkjut
evil	ˈivəl
professor	pɹəˈfɛsɚ
contact	ˈkɑˌntækt
joke	ˈdʒoʊk
cop	ˈkɑp
huge	ˈhjudʒ
holy	ˈhoʊli
store	ˈstɔɹ
jail	ˈdʒeɪl
likes	ˈlaɪks
lawyer	ˈlɔjɚ
doubt	ˈdaʊt
continue	kəˈntɪnju
appreciate	əˈpɹiʃiˌeɪt
cat	ˈkæt
shop	ˈʃɑp
driving	ˈdɹaɪvɪŋ
congratulations	kəˌnɡɹætʃəˈleɪʃənz
wrote	ˈɹoʊt
village	ˈvɪlədʒ
quit	ˈkwɪt
field	ˈfild
james	ˈdʒeɪmz
wine	ˈwaɪn
decision	dɪˈsɪʒən
south	ˈsaʊθ
sleeping	ˈslipɪŋ
slow	ˈsloʊ
laughter	ˈlæftɚ
island	ˈaɪlənd
glass	ˈɡlæs
beginning	bɪˈɡɪnɪŋ
cash	ˈkæʃ
dying	ˈdaɪɪŋ
hundred	ˈhʌndɹəd
whose	ˈhuz
difference	ˈdɪfɚəns
plane	ˈpleɪn
push	ˈpʊʃ
continues	kəˈntɪnjuz
singing	ˈsɪŋɪŋ
eating	ˈitɪŋ
north	ˈnɔɹθ
mrs	ˈmɪsɪz
tree	ˈtɹi
madam	ˈmædəm
gift	ˈɡɪft
truck	ˈtɹʌk
putting	ˈpʌtɪŋ
bear	ˈbɛɹ
board	ˈbɔɹd
grab	ˈɡɹæb
beer	ˈbɪɹ
stuck	ˈstʌk
magic	ˈmædʒɪk
support	səˈpɔɹt
rules	ˈɹulz
grunts	ˈɡɹʌnts
partner	ˈpɑɹtnɚ
reach	ˈɹitʃ
wind	ˈwaɪnd
colonel	ˈkɝnəl
max	ˈmæks
immediately	ˌɪˈmiˌdiətli
seconds	ˈsɛkəndz
thousand	ˈθaʊzənd
gives	ˈɡɪvz
experience	ɪˈkspɪɹiəns
cheers	ˈtʃɪɹz
victim	ˈvɪktəm
upon	əˈpɑn
computer	kəˈmpjutɚ
christ	ˈkɹaɪst
planet	ˈplænət
promised	ˈpɹɑməst
bus	ˈbʌs
henry	ˈhɛnɹi
dirty	ˈdɝti
search	ˈsɝtʃ
staying	ˈsteɪɪŋ
dreams	ˈdɹimz
arrest	ɚˈɛst
holding	ˈhoʊldɪŋ
suddenly	ˈsʌdənli
usually	ˈjuʒəwəli
lots	ˈlɑts
shoes	ˈʃuz
er	ɚ
jump	ˈdʒʌmp
rid	ˈɹɪd
yo	ˈjoʊ
knock	ˈnɑk
owe	ˈoʊ
harry	ˈhɛɹi
grow	ˈɡɹoʊ
worst	ˈwɝst
river	ˈɹɪvɚ
aunt	ˈænt
patient	ˈpeɪʃənt
kitchen	ˈkɪtʃən
fat	ˈfæt
passed	ˈpæst
m	ˈɛm
final	ˈfaɪnəl
summer	ˈsʌmɚ
bob	ˈbɑb
listening	ˈlɪsənɪŋ
escape	ɪˈskeɪp
everywhere	ˈɛvɹiˌwɛɹ
moon	ˈmun
arms	ˈɑɹmz
turns	ˈtɝnz
address	ˈæˌdɹɛs
ow	ˈoʊ
